,hold_limit,buffer,pre_cutoff,Sharpe
30,21,0,15,1.1150371847123568
129,21,6,15,1.1147801455650206
62,19,2,15,1.1146092572117388
70,13,4,5,1.110157402186578
29,19,0,15,1.1097491896523797
123,9,6,15,1.0956831461232124
135,11,8,5,1.0834054411172263
82,15,4,10,1.0787288023899835
114,13,6,10,1.0781995540930758
4,13,0,5,1.0780109839131917
95,19,4,15,1.0726473703744048
125,13,6,15,1.067788949162926
154,5,8,15,1.062664715085911
17,17,0,10,1.061161422540935
96,21,4,15,1.052543636610477
93,15,4,15,1.05152573040202
102,11,6,5,1.046861312348318
113,11,6,10,1.0456600281253003
83,17,4,10,1.0444821247317182
144,7,8,10,1.0406706133435129
49,15,2,10,1.0383646337918424
50,17,2,10,1.0262143309943321
134,9,8,5,1.0212482400380902
121,5,6,15,1.0177436830618214
16,15,0,10,1.0176174187285254
81,13,4,10,1.0134400048561085
94,17,4,15,0.9976759225638844
92,13,4,15,0.9901273795546595
91,11,4,15,0.9896145612324136
69,11,4,5,0.980961719813986
61,17,2,15,0.9786181930216715
48,13,2,10,0.9761259955205042
111,7,6,10,0.9750475144603654
112,9,6,10,0.9717794649977454
36,11,2,5,0.9630810477820366
28,17,0,15,0.9625941137635939
80,11,4,10,0.9468145606893367
101,9,6,5,0.9399858347615144
60,15,2,15,0.9383748353361803
58,11,2,15,0.9295567995997421
15,13,0,10,0.9259001127053144
59,13,2,15,0.9145527170747472
2,9,0,5,0.9038810968030713
3,11,0,5,0.8995305386772368
133,7,8,5,0.8923996813440652
35,9,2,5,0.8921601296588192
68,9,4,5,0.8834219938266938
90,9,4,15,0.8777785777129516
27,15,0,15,0.8658661451622733
78,7,4,10,0.8612383295749473
47,11,2,10,0.8566642225845901
89,7,4,15,0.8501898695547746
57,9,2,15,0.8407948938396255
56,7,2,15,0.8399889545630393
143,5,8,10,0.8264515211917066
79,9,4,10,0.8188443652875971
100,7,6,5,0.8123937834130303
110,5,6,10,0.7874537494602474
14,11,0,10,0.7729989121659939
88,5,4,15,0.7707234152339084
55,5,2,15,0.7700602949534351
132,5,8,5,0.7690644147249457
26,13,0,15,0.7619581645888494
46,9,2,10,0.7392554328159252
99,5,6,5,0.7363582303391203
34,7,2,5,0.7030562772832665
67,7,4,5,0.7021313497779892
25,11,0,15,0.6898392827428647
13,9,0,10,0.6847152814557607
33,5,2,5,0.6695791018071121
45,7,2,10,0.6602011074499566
1,7,0,5,0.6508291620957244
66,5,4,5,0.6197961746396149
24,9,0,15,0.6048003279630061
77,5,4,10,0.591272771865358
0,5,0,5,0.5834597192979489
23,7,0,15,0.5024506845690283
22,5,0,15,0.4705822986144777
44,5,2,10,0.45790070794183435
12,7,0,10,0.4349773191846214
11,5,0,10,0.16710553032931327
