ticker,strategy,Final [EUR],Total Return [%],CAGR [%],Vol (ann.) [%],Sharpe,Sortino,Max Drawdown [%],Calmar,Worst Year [%],Best Year [%],Years,dividends,interest,short_premium_received,short_buyback_paid,short_settle_paid,commissions,spread_cost,stock_fees,ftt,n_assignments,n_short_cycles,n_leaps_rolls,n_trades,min_cash,prem,skew,spread,p_short_target_delta,sweep,p_leaps_open_min_dte,p_defend_delta,div_yield
FP.PA,CoveredCall,387280.0,288.3,9.19,22.6,0.29,0.38,-43.0,0.21,-25.3,38.1,15.4,185400.0,1328.0,331555.0,1187.0,260069.0,18790.0,32211.0,17803.0,10237.0,36,186,0,359,14.0,vix,0.1,0.03,0.2,grid,,,
FP.PA,PMCC,284901.0,188.7,7.11,16.4,0.22,0.3,-31.1,0.23,-18.4,27.7,15.4,0.0,89247.0,401345.0,23164.0,305496.0,20039.0,76763.0,0.0,0.0,42,198,12,237,55364.0,vix,0.1,0.03,0.25,grid,,,
FP.PA,CoveredCall,462520.0,363.8,10.45,21.5,0.35,0.44,-41.8,0.25,-24.5,34.4,15.4,216732.0,1478.0,533008.0,88.0,419976.0,21700.0,37207.0,23435.0,13768.0,42,186,0,415,8.0,vix,0.1,0.03,0.25,grid,,,
FP.PA,PMCC,447909.0,353.9,10.3,14.5,0.42,0.54,-28.1,0.37,-11.6,29.2,15.4,0.0,111818.0,774718.0,41179.0,521007.0,24015.0,93970.0,0.0,0.0,58,198,12,237,55364.0,vix,0.1,0.03,0.35,grid,,,
FP.PA,CoveredCall,720346.0,622.3,13.67,19.8,0.5,0.6,-38.9,0.35,-17.2,42.7,15.4,267107.0,1733.0,1060447.0,2404.0,715775.0,26497.0,47100.0,41702.0,31465.0,58,186,0,467,7.0,vix,0.1,0.03,0.35,grid,,,
FP.PA,PMCC,215448.0,116.6,5.14,17.2,0.11,0.16,-28.5,0.18,-12.9,26.2,15.4,0.0,77190.0,219590.0,12789.0,235876.0,16632.0,36282.0,0.0,0.0,47,198,12,237,52022.0,1.0,0.0,0.01,0.2,grid,,,
FP.PA,CoveredCall,253743.0,154.4,6.24,22.5,0.18,0.23,-41.9,0.15,-23.4,29.6,15.4,147444.0,1401.0,240787.0,302.0,262334.0,15104.0,25893.0,17864.0,10304.0,46,186,0,337,10.0,1.0,0.0,0.01,0.2,grid,,,
FP.PA,PMCC,248489.0,149.8,6.11,16.2,0.16,0.22,-27.9,0.22,-13.9,28.7,15.4,0.0,83751.0,308729.0,17995.0,300593.0,17838.0,38977.0,0.0,0.0,50,198,12,237,50779.0,1.0,0.0,0.01,0.25,grid,,,
FP.PA,CoveredCall,275531.0,176.3,6.81,21.6,0.2,0.25,-42.5,0.16,-24.2,29.4,15.4,152538.0,1487.0,326803.0,832.0,334289.0,15668.0,26859.0,19965.0,11223.0,50,186,0,364,9.0,1.0,0.0,0.01,0.25,grid,,,
FP.PA,PMCC,247792.0,149.1,6.09,14.4,0.16,0.21,-24.8,0.25,-6.4,24.5,15.4,0.0,83106.0,480195.0,26146.0,468466.0,17740.0,38768.0,0.0,0.0,71,198,12,237,51929.0,1.0,0.0,0.01,0.35,grid,,,
FP.PA,CoveredCall,274202.0,174.9,6.77,19.8,0.2,0.24,-39.5,0.17,-16.0,37.5,15.4,150048.0,1494.0,502707.0,1810.0,507210.0,15368.0,26346.0,27007.0,14095.0,71,186,0,430,9.0,1.0,0.0,0.01,0.35,grid,,,
FP.PA,PMCC,200988.0,102.7,4.68,17.3,0.09,0.12,-29.3,0.16,-13.2,25.0,15.4,0.0,73794.0,211393.0,12385.0,228046.0,16053.0,45446.0,0.0,0.0,47,198,12,237,50778.0,1.0,0.0,0.02,0.2,grid,,,
FP.PA,CoveredCall,253743.0,154.4,6.24,22.5,0.18,0.23,-41.9,0.15,-23.4,29.6,15.4,147444.0,1401.0,240787.0,302.0,262334.0,15104.0,25893.0,17864.0,10304.0,46,186,0,337,10.0,1.0,0.0,0.02,0.2,grid,,,
FP.PA,PMCC,231502.0,133.4,5.65,16.3,0.14,0.19,-28.4,0.2,-14.4,27.4,15.4,0.0,80175.0,298500.0,17367.0,290981.0,17258.0,48983.0,0.0,0.0,50,198,12,237,50322.0,1.0,0.0,0.02,0.25,grid,,,
FP.PA,CoveredCall,275531.0,176.3,6.81,21.6,0.2,0.25,-42.5,0.16,-24.2,29.4,15.4,152538.0,1487.0,326803.0,832.0,334289.0,15668.0,26859.0,19965.0,11223.0,50,186,0,364,9.0,1.0,0.0,0.02,0.25,grid,,,
FP.PA,PMCC,230855.0,132.8,5.63,14.6,0.13,0.17,-25.2,0.22,-6.9,24.0,15.4,0.0,79584.0,463734.0,25124.0,453113.0,17160.0,48756.0,0.0,0.0,71,198,12,237,51384.0,1.0,0.0,0.02,0.35,grid,,,
FP.PA,CoveredCall,274168.0,174.9,6.77,19.8,0.2,0.24,-39.5,0.17,-16.0,37.5,15.4,150077.0,1504.0,503107.0,2104.0,507445.0,15390.0,26420.0,27014.0,14106.0,71,186,0,431,10.0,1.0,0.0,0.02,0.35,grid,,,
FP.PA,PMCC,186802.0,88.9,4.21,17.4,0.06,0.09,-30.2,0.14,-13.6,23.9,15.4,0.0,70626.0,204514.0,12011.0,220486.0,15540.0,54046.0,0.0,0.0,47,198,12,237,50305.0,1.0,0.0,0.03,0.2,grid,,,
FP.PA,CoveredCall,253743.0,154.4,6.24,22.5,0.18,0.23,-41.9,0.15,-23.4,29.6,15.4,147444.0,1401.0,240787.0,302.0,262334.0,15104.0,25893.0,17864.0,10304.0,46,186,0,337,10.0,1.0,0.0,0.03,0.2,grid,,,
FP.PA,PMCC,215994.0,118.5,5.19,16.5,0.11,0.15,-28.9,0.18,-14.8,26.7,15.4,0.0,76673.0,288659.0,16823.0,282576.0,16697.0,58332.0,0.0,0.0,50,198,12,237,47240.0,1.0,0.0,0.03,0.25,grid,,,
FP.PA,CoveredCall,275534.0,176.3,6.81,21.6,0.2,0.25,-42.5,0.16,-24.2,29.4,15.4,152537.0,1488.0,326769.0,832.0,334289.0,15668.0,26893.0,19965.0,11223.0,50,186,0,364,13.0,1.0,0.0,0.03,0.25,grid,,,
FP.PA,PMCC,214697.0,117.1,5.15,14.6,0.1,0.13,-25.2,0.2,-7.4,23.7,15.4,0.0,76167.0,444831.0,24141.0,437740.0,16532.0,58206.0,0.0,0.0,71,198,12,237,48288.0,1.0,0.0,0.03,0.35,grid,,,
FP.PA,CoveredCall,274197.0,174.9,6.77,19.8,0.2,0.24,-39.5,0.17,-16.1,37.4,15.4,149984.0,1511.0,502238.0,2055.0,506652.0,15377.0,26923.0,26983.0,14094.0,71,186,0,431,7.0,1.0,0.0,0.03,0.35,grid,,,
FP.PA,PMCC,137857.0,38.6,2.14,17.3,-0.05,-0.07,-33.3,0.06,-17.9,26.7,15.4,0.0,57292.0,161659.0,8696.0,224444.0,13155.0,28945.0,0.0,0.0,49,198,12,237,35567.0,1.0,0.1,0.01,0.2,grid,,,
FP.PA,CoveredCall,171852.0,72.3,3.59,22.0,0.07,0.08,-44.3,0.08,-27.0,27.7,15.4,115009.0,1360.0,178744.0,338.0,252332.0,11998.0,20568.0,14402.0,7328.0,48,186,0,318,8.0,1.0,0.1,0.01,0.2,grid,,,
