y,x,corr,eg_pvalue,eg_tstat,beta,half_life,hurst,n_obs
DFS,MTB,0.6112419632414585,0.0301400333574162,-3.526228675070936,0.7348915156493241,54.66216990967399,0.441736939327478,1259
UDR,EXR,0.6203949629405322,0.030364854135089592,-3.5235405218413387,0.6070641563340455,43.31403363150374,0.3596227027497194,1259
BBT,MS,0.7238284376475455,0.03047712536066247,-3.5222044542527065,0.5361120630370356,33.293581676536675,0.3905031388208073,1259
PRU,MTB,0.6898103835384573,0.03050280746348945,-3.521899417564684,1.042069208827445,39.63861485303315,0.4232206625025728,1259
PXD,HAL,0.6263846118260032,0.030573058358669775,-3.5210661358175077,0.8262584682725694,26.910577079553963,0.40987433421628067,1259
MCHP,AMAT,0.6344316639405239,0.030614341204108268,-3.5205772194990264,0.6698650127432983,35.077222577650176,0.4117381343599611,1259
AEE,AWK,0.6697510938754204,0.03072308364947823,-3.519292055856049,0.6641025891648333,35.96510110177581,0.4073269378871436,1259
FITB,BAC,0.7798516183759282,0.030787231311191918,-3.5185357475377033,0.696538081021782,35.41668354173551,0.40485695784714687,1259
D,AEE,0.7171850058735992,0.030804983708885274,-3.518326681796482,0.47660179103177885,37.571505063667814,0.33785760056983677,1259
NTRS,JPM,0.7520686152330737,0.030894434071643398,-3.5172748043446838,0.7933459749644414,31.4409895430062,0.36249974071337826,1259
HBAN,NTRS,0.7304991354577228,0.03240986299897563,-3.4998367483377426,1.038251478749132,28.75784689182885,0.3879429264224168,1259
FITB,ZION,0.807930863986839,0.03260482965952781,-3.4976438330535715,0.761634824226184,29.41721014166681,0.34496985478603154,1259
USB,NTRS,0.7459182751839653,0.033805564185485956,-3.4843783833865154,0.7294421652532387,36.46138064653355,0.4211639855463714,1259
STT,MS,0.709572011254606,0.033830931522531096,-3.484102464574735,0.6163043215753031,34.91910805052351,0.36226048458097,1259
FOX,FOXA,0.9776080392845504,0.03416834700227946,-3.480448975759532,0.9044346262967797,21.71538234110306,0.36695453825813495,1169
