y,x,corr,eg_pvalue,eg_tstat,beta,half_life,hurst,n_obs
BNB,XMR,0.5017170662809932,0.12000718520323839,-2.960059661316305,2.2405955225717835,213.76466359040413,0.42586369859532924,3235
LTC,DOT,0.6982163583994776,0.12799521768767208,-2.9292490314161155,0.37095755393550167,84.58362875336421,0.4260272350140122,2103
LTC,BNB,0.562009987716338,0.13954791011532092,-2.8870619824800148,0.08455807614808769,128.41887486517393,0.49374869895330264,3235
LTC,LINK,0.5895748101654908,0.14433802926560269,-2.870300239574448,0.1039411977799595,137.8745354052535,0.5023491135428547,3159
BNB,ADA,0.5657233062453849,0.14729101467851408,-2.860161884171289,1.1785212726636318,277.7533853087759,0.4921862605876526,3096
ADA,DOGE,0.5247395700924435,0.14745312505026525,-2.8596094693020806,0.5390442361300872,166.06333086902205,0.46182242620566405,3096
ETH,DOT,0.7267078684440924,0.14851211318085544,-2.8560112471974795,0.13405135426969106,163.2500858357057,0.5289835585627245,2103
ETC,ETH,0.605035989270775,0.18519848415253376,-2.740946533563728,0.5142445048867194,101.18792208274816,0.48205952336810654,3590
BCH,LINK,0.5356157075225986,0.1985772143813222,-2.7027889050693727,-0.03435698668566085,181.52767682920418,0.50338935362335,3159
ADA,LINK,0.630219952410577,0.21855893585996222,-2.648726477369146,0.5618953749643253,395.51692206974667,0.5308775731239537,3096
ADA,ETH,0.7284785000376953,0.22600059675078776,-2.629374466323307,0.9135590746845782,211.98669228298724,0.4853844826262269,3096
BCH,BTC,0.6327880097736436,0.24250810362342512,-2.586007655282948,0.11767218994770873,182.08557577282616,0.4879745528418183,3218
XMR,ADA,0.5747475626088254,0.2469580326630082,-2.5751731287292934,0.4098212988525251,129.88812779409736,0.4491337408222341,3096
BCH,ETH,0.6810021660061513,0.25751407834244333,-2.5499044392183077,0.10741425574991957,186.6489105646311,0.4905047756101493,3218
ETH,LTC,0.6180382742595498,0.2583745705319978,-2.547870176532042,1.4869435649639415,269.789154054093,0.4561920315984481,3796
XMR,DOT,0.5053534605506634,0.26077587071875075,-2.5422128611129557,-0.04266189628577154,96.40858761437482,0.43096113482067094,2103
BCH,XMR,0.564338644723376,0.28185665622939526,-2.4936952824955942,0.5674424636262692,182.9232456240691,0.45967293831992273,3218
ETC,BTC,0.5457345086815811,0.3010240446591239,-2.4511574755000156,0.5048701526926686,171.31108496207267,0.5231912105222261,3590
XRP,LINK,0.5342085258982457,0.31624321167503344,-2.418287494877267,0.23303158063354162,269.19442450264563,0.5068621326180291,3159
BCH,ETC,0.6715168564221982,0.34135701254647544,-2.365514690281611,0.30022986332723645,222.4002371805404,0.4879180751916536,3218
LTC,XRP,0.5324186147569588,0.381845376649576,-2.2834383279691566,0.6205215409059518,157.9962521845904,0.4493020605826358,3796
BTC,DOT,0.6641234643902485,0.39234341262730216,-2.2626245973223864,-0.09744341404702858,254.48490228774347,0.574057581842411,2103
LINK,DOT,0.7386705092353671,0.42470476856742306,-2.199338289774263,0.34154055073031614,129.49172085282157,0.4336588700078886,2103
XRP,DOT,0.560191783490356,0.42737089173719306,-2.1941720128303075,-0.15301731897228016,176.41455379622107,0.5162912631368596,2103
LINK,ETH,0.6691999988793143,0.4531317785898077,-2.1445167857360907,0.9893092540096263,428.65202414112304,0.4829686179477151,3159
XRP,ADA,0.678650304816462,0.477534970712372,-2.0977661006649475,0.4559624125975722,249.48320063087516,0.4696194207317868,3096
ETC,LINK,0.5779891925436573,0.49627349192490994,-2.0619303839981575,0.2192401213396882,248.8769955165291,0.5156167018600577,3159
LTC,DOGE,0.5053958948114836,0.5320251722583773,-1.9933652439560128,0.33924424986868335,354.61929038980634,0.48701432969790703,3796
ADA,DOT,0.7132235021284948,0.5386840683206213,-1.9805276312178433,0.5937284124719355,232.38745647762994,0.4915764268526555,2103
ADA,BTC,0.6649133610752084,0.5420863307282691,-1.9739566996319138,0.9112131338064126,472.9399122187975,0.5143613180341918,3096
XMR,LINK,0.5127323803892961,0.6328017832736657,-1.793649188608569,0.1963417380911212,217.59278030526607,0.4814942865453814,3159
LINK,BNB,0.534652006358303,0.6382008614075773,-1.7824626450472654,0.7036507954047103,317.30286589447894,0.4928952527984132,3159
LINK,BTC,0.5834406420165724,0.6742305523803157,-1.705842342684166,1.2244927010738833,363.4729536926607,0.47341569197646244,3159
LTC,BTC,0.6885109294679062,0.6779316355302386,-1.697750389706166,0.5794189453975772,385.43631960713674,0.5053305331463457,3796
BCH,DOT,0.6125524882798546,0.7132983724708138,-1.6178471296373178,0.14994857338460493,244.88827862116207,0.47518662796853695,2103
