ticker,strategy,Final [EUR],Total Return [%],CAGR [%],Vol (ann.) [%],Sharpe,Sortino,Max Drawdown [%],Calmar,Worst Year [%],Best Year [%],Years,dividends,interest,short_premium_received,short_buyback_paid,short_settle_paid,commissions,spread_cost,stock_fees,ftt,n_assignments,n_short_cycles,n_leaps_rolls,n_trades,min_cash
BNP.PA,PMCC_budget,651681.0,563.7,13.05,44.1,0.39,0.59,-68.2,0.19,-47.6,120.8,15.4,0.0,66790.0,1639704.0,92279.0,763666.0,46571.0,187738.0,0.0,0.0,28,197,12,236,18725.0
BNP.PA,CoveredCall,751628.0,653.1,13.98,32.5,0.42,0.53,-65.6,0.21,-46.9,114.1,15.4,193315.0,2066.0,874213.0,603.0,429890.0,20450.0,35072.0,21694.0,16155.0,30,186,0,377,12.0
BNP.PA,BuyHold,194379.0,94.6,4.41,38.6,0.19,0.26,-75.4,0.06,-57.1,94.3,15.4,87707.0,18.0,0.0,0.0,0.0,0.0,0.0,382.0,70.0,0,0,0,1646,0.0
BNP.PA,LeapsOnly,131697.0,32.5,1.84,29.6,0.06,0.09,-60.5,0.03,-33.6,50.5,15.4,0.0,51728.0,0.0,0.0,0.0,1071.0,22539.0,0.0,0.0,0,0,12,26,43794.0
CA.PA,PMCC,175444.0,76.9,3.76,16.2,0.03,0.04,-41.4,0.09,-21.6,45.5,15.4,0.0,55920.0,251111.0,15513.0,118657.0,13468.0,38281.0,0.0,0.0,29,191,12,228,46253.0
CA.PA,PMCC_budget,52730.0,-46.4,-3.96,39.6,-0.01,-0.02,-85.4,-0.05,-65.6,95.0,15.4,0.0,13868.0,305541.0,14642.0,158117.0,14858.0,43022.0,0.0,0.0,29,191,13,229,236.0
CA.PA,CoveredCall,181569.0,81.8,3.95,24.6,0.1,0.12,-54.4,0.07,-37.6,57.4,15.4,54839.0,1283.0,258601.0,1257.0,131685.0,11106.0,19049.0,7426.0,4137.0,30,186,0,321,3.0
CA.PA,BuyHold,57111.0,-42.8,-3.56,30.2,-0.11,-0.16,-77.9,-0.05,-47.1,52.8,15.4,29441.0,13.0,0.0,0.0,0.0,0.0,0.0,186.0,17.0,0,0,0,825,0.0
CA.PA,LeapsOnly,59722.0,-39.8,-3.24,21.8,-0.24,-0.41,-69.6,-0.05,-28.4,42.6,15.4,0.0,28631.0,0.0,0.0,0.0,756.0,9006.0,0.0,0.0,0,0,12,26,28524.0
CS.PA,PMCC,401309.0,305.4,9.49,25.7,0.3,0.43,-50.4,0.19,-25.6,62.1,15.4,0.0,71748.0,502131.0,34140.0,334294.0,47955.0,112290.0,0.0,0.0,40,198,12,237,31682.0
CS.PA,PMCC_budget,236750.0,141.9,5.89,50.7,0.27,0.39,-88.7,0.07,-46.4,88.3,15.4,0.0,18100.0,533006.0,34361.0,374279.0,49270.0,115805.0,0.0,0.0,40,198,15,240,133.0
CS.PA,CoveredCall,465225.0,366.7,10.5,36.3,0.33,0.42,-75.0,0.14,-38.0,82.8,15.4,120600.0,673.0,444892.0,984.0,332302.0,34634.0,59373.0,17316.0,13945.0,42,186,0,466,4.0
CS.PA,BuyHold,240455.0,140.7,5.86,43.3,0.24,0.35,-77.5,0.08,-41.7,71.1,15.4,76231.0,5.0,0.0,0.0,0.0,0.0,0.0,417.0,77.0,0,0,0,3506,0.0
CS.PA,LeapsOnly,177178.0,78.6,3.83,33.7,0.14,0.24,-66.4,0.06,-35.9,60.1,15.4,0.0,40690.0,0.0,0.0,0.0,3150.0,22024.0,0.0,0.0,0,0,12,26,21557.0
DG.PA,PMCC,1222870.0,1143.1,17.74,18.0,0.72,1.0,-35.9,0.49,-19.8,43.8,15.4,0.0,210212.0,1112323.0,65170.0,605228.0,56264.0,174174.0,0.0,0.0,50,198,12,237,53850.0
DG.PA,PMCC_budget,6174343.0,6269.1,30.89,38.8,0.75,1.05,-70.1,0.44,-47.8,115.3,15.4,0.0,281122.0,7214362.0,433427.0,3437014.0,320423.0,1111946.0,0.0,0.0,51,198,18,243,-1434.0
DG.PA,CoveredCall,2246512.0,2162.5,22.4,23.5,0.76,0.98,-53.9,0.42,-28.6,62.4,15.4,425538.0,1699.0,1593769.0,2255.0,856418.0,63420.0,108720.0,65189.0,44976.0,49,186,0,521,6.0
DG.PA,BuyHold,1394220.0,1295.6,18.62,29.6,0.56,0.84,-61.3,0.3,-38.5,82.0,15.4,369130.0,11.0,0.0,0.0,0.0,0.0,0.0,1864.0,415.0,0,0,0,4029,0.0
DG.PA,LeapsOnly,691212.0,598.4,13.42,25.0,0.43,0.73,-48.7,0.28,-32.5,70.9,15.4,0.0,169954.0,0.0,0.0,0.0,5562.0,73166.0,0.0,0.0,0,0,12,26,59019.0
FP.PA,PMCC,308918.0,211.9,7.65,16.3,0.25,0.34,-30.9,0.25,-18.1,28.8,15.4,0.0,93953.0,419971.0,24149.0,318921.0,20965.0,64247.0,0.0,0.0,42,198,12,237,55730.0
FP.PA,PMCC_budget,328040.0,234.6,8.14,44.3,0.29,0.4,-76.9,0.11,-50.5,55.3,15.4,0.0,40207.0,1185321.0,61854.0,890284.0,57250.0,176554.0,0.0,0.0,42,198,17,242,-222.0
FP.PA,CoveredCall,462510.0,363.8,10.45,21.5,0.35,0.44,-41.8,0.25,-24.5,34.4,15.4,216731.0,1474.0,533016.0,139.0,419976.0,21707.0,37212.0,23435.0,13768.0,42,186,0,416,8.0
FP.PA,BuyHold,340752.0,241.1,8.27,26.7,0.26,0.37,-45.4,0.18,-28.2,52.1,15.4,183895.0,13.0,0.0,0.0,0.0,0.0,0.0,625.0,176.0,0,0,0,3395,0.0
FP.PA,LeapsOnly,211916.0,113.6,5.04,21.8,0.12,0.2,-39.2,0.13,-22.2,44.9,15.4,0.0,76879.0,0.0,0.0,0.0,1939.0,26482.0,0.0,0.0,0,0,12,26,52360.0
GLE.PA,PMCC,282589.0,184.7,7.01,23.9,0.21,0.31,-52.6,0.13,-30.9,52.7,15.4,0.0,87082.0,589754.0,37863.0,412005.0,15978.0,63898.0,0.0,0.0,37,194,12,232,62037.0
GLE.PA,PMCC_budget,140331.0,42.8,2.33,46.5,0.18,0.27,-90.1,0.03,-61.1,77.9,15.4,0.0,36968.0,998133.0,63677.0,883910.0,22734.0,106395.0,0.0,0.0,37,194,17,237,-79.0
GLE.PA,CoveredCall,270447.0,170.9,6.67,35.3,0.23,0.28,-82.6,0.08,-57.4,67.3,15.4,106535.0,2333.0,568591.0,561.0,462753.0,12017.0,21019.0,16653.0,6094.0,39,186,0,358,28.0
GLE.PA,BuyHold,111600.0,11.7,0.72,42.7,0.13,0.18,-88.3,0.01,-62.3,64.7,15.4,63493.0,21.0,0.0,0.0,0.0,0.0,0.0,275.0,32.0,0,0,0,1070,0.0
GLE.PA,LeapsOnly,98794.0,-0.5,-0.03,31.9,0.02,0.03,-80.2,-0.0,-50.1,53.3,15.4,0.0,46988.0,0.0,0.0,0.0,900.0,20164.0,0.0,0.0,0,0,12,26,29340.0
MC.PA,PMCC,452999.0,356.2,10.33,19.3,0.36,0.53,-36.6,0.28,-17.5,59.4,15.4,0.0,109852.0,543892.0,35779.0,362933.0,10397.0,58887.0,0.0,0.0,32,196,12,234,46043.0
MC.PA,PMCC_budget,470112.0,377.8,10.67,43.4,0.34,0.52,-67.6,0.16,-53.7,145.8,15.4,0.0,45443.0,1272285.0,83108.0,934130.0,23184.0,138728.0,0.0,0.0,32,196,13,235,4238.0
MC.PA,CoveredCall,488572.0,389.3,10.84,25.1,0.35,0.45,-63.0,0.17,-36.5,88.4,15.4,63312.0,2868.0,481252.0,3427.0,356616.0,7360.0,13732.0,18181.0,11984.0,37,186,0,290,28.0
MC.PA,BuyHold,213143.0,113.4,5.03,31.6,0.17,0.25,-70.6,0.07,-40.4,68.3,15.4,32731.0,30.0,0.0,0.0,0.0,0.0,0.0,346.0,38.0,0,0,0,371,0.0
MC.PA,LeapsOnly,183139.0,84.3,4.04,25.0,0.1,0.17,-47.0,0.09,-29.4,48.7,15.4,0.0,54520.0,0.0,0.0,0.0,634.0,20569.0,0.0,0.0,0,0,12,26,36170.0
OR.PA,PMCC,426614.0,329.9,9.91,15.5,0.38,0.56,-27.9,0.35,-21.2,44.2,15.4,0.0,91084.0,390588.0,28076.0,212371.0,8153.0,41926.0,0.0,0.0,38,195,12,233,66380.0
OR.PA,PMCC_budget,913288.0,828.1,15.53,40.1,0.44,0.67,-66.6,0.23,-51.7,115.3,15.4,0.0,48034.0,1503127.0,103104.0,1025202.0,28065.0,168465.0,0.0,0.0,39,195,16,237,-263.0
OR.PA,CoveredCall,658622.0,559.6,13.0,21.1,0.46,0.6,-43.5,0.3,-26.9,45.6,15.4,64202.0,2924.0,524434.0,1197.0,308556.0,9168.0,16272.0,23719.0,19957.0,38,186,0,293,29.0
OR.PA,BuyHold,235872.0,136.1,5.72,25.9,0.17,0.25,-51.8,0.11,-35.2,32.8,15.4,28639.0,29.0,0.0,0.0,0.0,0.0,0.0,364.0,32.0,0,0,0,331,0.0
