Date,PMCC,PMCC_budget,CoveredCall,BuyHold,LeapsOnly
2001-01-24,103736.53996572038,105487.21986558738,106458.79981031567,101799.4661998451,99144.51761341808
2001-01-25,104299.87816341389,106497.75152671004,107126.42118581015,103219.73663712303,100458.97967878052
2001-01-26,104324.77429849394,106521.49108506799,107254.5318333257,103219.735455947,100364.13472637946
2001-01-29,104010.95450200012,105923.82876502129,107125.8486322477,102895.38250578605,99874.22479577153
2001-01-30,104180.99839946722,106383.79861998945,107407.0426763007,103126.47608058188,100017.79490732128
2001-01-31,104239.91841888287,106527.3932581615,107558.87421916681,103531.60287479954,100343.07979435491
2001-02-01,103422.74337447117,104692.46437589616,106405.0059635903,101575.96832791767,98686.69938752272
2001-02-02,103728.09382223318,104964.22911802238,106425.40867570267,101447.84249912582,98802.087080324
2001-02-05,103840.22975197014,105012.66480624014,106527.67222061024,101809.35774343203,99170.38048432374
2001-02-06,104083.30905097607,105544.8396201448,106829.25452402572,102174.54745659791,99499.79383274751
2001-02-07,104268.67009034968,105969.55881404375,107052.97614603497,102177.28574653965,99482.61731511791
2001-02-08,104732.94743196691,106788.05768255533,107567.07089000876,102964.45537761723,100228.95321401776
2001-02-09,104587.20289699119,106491.02515839493,107259.67938505401,102485.63108814963,99904.77037162361
2001-02-12,104692.65742645282,106806.9513534943,107385.37348652631,102608.49664620461,100009.38001689184
2001-02-13,104847.25464876725,107091.02904858447,107522.1407138605,102723.47746506217,100150.02869014573
2001-02-14,105025.8280454075,107195.41710597316,107539.31166614026,102757.2072407859,100323.81569885205
2001-02-15,105348.78154798344,108035.20346140061,107945.13187566662,102911.06774379888,100404.67247845442
2001-02-16,105467.08164864205,108027.31225035309,107749.22585659061,102743.48177309784,100510.17130707385
2001-02-19,105852.04637537448,108871.53987687221,108389.53924625632,103297.72172478626,100824.45908597393
2001-02-20,105474.82679635841,108033.38780946824,107783.83483007991,102413.35600586567,100158.9854604769
2001-02-21,105054.60591763482,106902.9016532295,106998.16387143776,101458.75119420416,99537.62509160276
2001-02-22,105012.54228216807,106527.62795525248,106605.65472963512,101185.436436609,99597.36349432159
2001-02-23,104221.7469966493,104931.24941608019,105312.07441914298,99664.34844872795,98537.82848348272
2001-02-26,105223.83403532705,107168.52092376625,106670.95892333322,100996.88896407011,99564.49408049634
2001-02-27,105441.84843205793,107874.83657543614,107041.05066349545,101464.50838437214,99913.36245392622
2001-02-28,105149.48871035768,107279.56055336886,106459.63279858144,100713.04107250892,99436.78051813396
2001-03-01,105170.42697932133,107441.44158410109,106259.40136709169,100464.05889519653,99415.16773766492
2001-03-02,105291.0142457563,107229.88847365684,105838.37014646022,100238.17753365652,99725.53982420995
2001-03-05,105942.19474399707,108695.91326357632,106624.97265495038,101137.76256405003,100531.85197424139
2001-03-06,105930.42574997204,108917.35730197714,106657.6119943768,100960.85513426273,100313.50108415107
2001-03-07,106851.96860854886,110958.40253478847,107680.15181423468,102336.36513920956,101642.97181346736
2001-03-08,106818.08288949801,111247.4174776268,107741.87798866615,102847.25053223038,102072.52881079483
2001-03-09,106522.54530728933,110343.2644279926,106910.92731339623,101649.93932375121,101364.71522697964
2001-03-12,105885.42081805858,108524.7395962878,105561.74230239366,100127.58107669256,100508.00144108922
2001-03-13,105371.6812173245,107377.68756348526,104884.11958704467,98936.3169977817,99436.5561359145
2001-03-14,105367.33598572093,107291.56942954606,104997.1692239272,98936.31499408296,99318.57749345113
2001-03-15,105378.27827365769,107064.64860413274,104496.03909691032,98254.04524566201,99068.14777406481
2001-03-16,103847.99855646443,103918.16753494118,102584.89742957184,96491.54947129649,97597.96176839063
2001-03-19,104044.18142864571,103913.61027706836,102602.94891559167,96497.29472599167,97890.7196283631
2001-03-20,104709.61480978182,105633.41309813697,103598.80150861111,98115.70410230616,99004.37191762067
2001-03-21,103786.38304062604,103599.89933270557,102100.98752862065,96320.40595622016,97763.15893677593
2001-03-22,102140.01454802488,99813.02819500095,98641.23247663568,92282.09812265763,95448.97556870087
2001-03-23,103116.3370719848,101861.93303489657,100264.19808328435,94218.44073603948,96817.36318186863
2001-03-26,104417.67715475838,105011.82772351804,102497.71402588133,96539.3799346217,98220.62906508059
2001-03-27,105919.11100944736,108445.10331914914,104698.32671562675,99451.26331257305,100327.68810020931
2001-03-28,105279.94842101584,106754.43983121635,103683.9346324184,98001.64708820877,99303.18607459267
2001-03-29,105619.3873082996,107450.34500258572,104523.07241299082,98916.28948666653,99785.63041113259
2001-03-30,106032.9524437474,108336.57503330165,105405.8512829354,100113.85836259292,100647.50253334474
2001-04-02,106248.78834043907,108836.35056792034,105973.14138082048,100490.68581181708,100671.32541032013
2001-04-03,104823.24567576544,105469.54045638705,103525.36868454388,97228.05264597065,98442.86603560654
2001-04-04,104907.91036034541,105743.27252080302,104013.78638241283,97966.78497824029,98787.716485479
